status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5550296508_10157647437316509,Senator Mitch McConnell has changed his tone on whether he thinks the Republican should be in the Senate.,McConnell says he'll let Alabama make the call on Senate candidate Roy Moore,link,http://cnn.it/2AsfLaH,2017-12-03 16:30:04,159,78,5,35,24,4,5,2,90,-1
5550296508_10157647334026509,"Daily Stormer founder and publisher Andrew Anglin says a ""troll storm"" he encouraged against a Jewish woman in Montana should be considered protected speech.",Neo-Nazi site founder wants lawsuit against him dismissed,link,http://cnn.it/2AmKt7c,2017-12-03 16:00:13,564,192,48,133,24,22,68,8,310,-1
5550296508_10157647235906509,Both North Korean and US officials say the chances of war are growing.,US stealth jets arrive in South Korea as North Korean rhetoric heats up,link,http://cnn.it/2AqTeLr,2017-12-03 15:30:13,1989,480,653,1047,64,232,30,402,214,0
5550296508_10157647132846509,Author and foreign policy analyst Max Boot says President Donald J. Trump is 'making me feel like a foreigner' in my own country http://cnn.it/2jHwy1D,Max Boot: Trump 'making me feel like a foreigner',video,https://www.facebook.com/cnn/videos/10157647132846509/,2017-12-03 15:01:49,915,281,104,684,56,20,72,62,18,3
5550296508_10157647024386509,The parents of the Colorado fifth-grader say her school could've done more to intervene.,Parents say 10-year-old daughter killed herself because of bullying,link,http://cnn.it/2Aohf87,2017-12-03 14:34:09,4964,477,439,552,41,89,4,3692,585,1
5550296508_10157646900661509,"The Silverdome in Detroit is still standing after an attempted implosion. The stadium was ""built a little too well,"" one construction official joked. http://cnn.it/2kkrZ1i",Detroit's Silverdome still standing after attempted implosion,video,https://www.facebook.com/cnn/videos/10157646900661509/,2017-12-03 14:01:22,4561,545,734,2105,48,556,1842,8,1,1
5550296508_10157646798281509,"Democratic Senator Mark Warner: ""And now [President Donald J. Trump] is somehow saying he fired (former national security adviser Michael) Flynn because he knew Flynn was lying to [Vice President Mike Pence]. Well if he knew that then, why didn't he act on it earlier?"" http://cnn.it/2ieeY5d","Warner: If Trump knew Flynn lied, why not act sooner?",video,https://www.facebook.com/cnn/videos/10157646798281509/,2017-12-03 13:31:27,2502,622,333,1998,143,54,271,9,24,3
5550296508_10157646633501509,President Donald J. Trump's personal lawyer says he wrote a tweet that has raised questions about whether the President knew former White House national security adviser Michael Flynn lied to the FBI – Federal Bureau of Investigation when he fired him.,Lawyer says he wrote @realDonaldTrump tweet about firing Flynn,link,http://cnn.it/2iclYPL,2017-12-03 13:00:09,4799,3358,796,1002,42,197,3049,27,478,4
5550296508_10157646515281509,"""Saturday Night Live"" takes on Michael Flynn's guilty plea in ""A Christmas Carol"" sketch http://cnn.it/2jHFZyb",'SNL' takes on Flynn's guilty plea,video,https://www.facebook.com/cnn/videos/10157646515281509/,2017-12-03 12:30:51,5051,351,720,2832,396,15,1776,4,28,0
5550296508_10157646394411509,"Fareed Zakaria takes a look at why President Donald J. Trump's base seems to be supporting a tax plan that goes against their own interests: “What if people are actually motivated far more deeply by issues surrounding religion, race and culture than they are by economics?” http://cnn.it/2AmuGFs",Fareed Zakaria on the GOP tax plan,video,https://www.facebook.com/cnn/videos/10157646394411509/,2017-12-03 12:01:10,3837,1197,1755,2601,79,133,97,579,347,1
